user_id,item_id,rating
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B0BGXYL3BZ,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B07Q5TL9SQ,3.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B076CJVFKF,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B0BBL2ZW73,5.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B0B1XQTZ1R,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B09TWSRMCB,5.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B09NGQ7BJ5,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B00T8RIK7G,3.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B09CN5LBGK,5.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B08NP5273Y,5.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B092RXXJDM,5.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B087BGVNRP,3.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B07P2VZ6ZL,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B07PCR7SYF,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B07YBTCMPH,5.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B07Q4X31VX,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B009WQ9YMS,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B07ZV1BCC4,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B07MV8SWZF,3.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B07H64F568,2.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B01DYC10PE,3.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B07MHGG3L3,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B074CH1CDH,5.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B00UHPKXMS,2.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B004ZY0VHY,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B079TPGJJS,1.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B078XBQ4N5,3.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B00NAJZDIM,3.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B079DW9LVX,5.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B0142IHZPI,3.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B0751GJLRN,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B002Z7G0QO,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B073ZL356L,3.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B072J79X7D,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B01K4MJVH6,4.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B01CH72PLU,3.0
AGHFDAIJOJPZBFMCZSEAHQOSGOIQ,B073BVCHKG,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B08DQLQDBF,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07PCR7SYF,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07SLZ9LMN,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07S6MY67W,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B009WQ9YMS,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07T5DMP3W,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07MM54C3R,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B01MFGX5GI,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B0838J8GN6,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B083JRYLKT,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B00N43K3DO,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07BHYNNM8,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07GS96FVN,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07Q5TL9SQ,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B00F8XLADK,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07PSFHQPG,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07H64F568,3.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07MQRYBKP,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B071G5W8HC,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B00E9TY9A0,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07B2VX1LR,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B076CJVFKF,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B076FNQWTF,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B01LYE4TQ9,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07C27FZ4V,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07PP9N4D8,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B007GSU1LC,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B078XBQ4N5,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B072LD57FC,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07MCT1GC3,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B077YX73SK,3.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B01HOEGQJS,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B076M1Z7BQ,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B00NVLNZ8Y,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B007FG9LIE,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07JZ3G2WQ,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B075ZV94CS,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B01MEEWFIC,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B06Y69D9KT,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B009FBK5CI,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07BDFJ44R,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B00YO78RRS,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B01H9DSUAW,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B071LJSDCP,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B074D7F5FW,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B06Y2H1KM9,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B07DTB52HJ,4.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B074W8K55L,5.0
AEVXW3KVAVIE4FPVLOCACZREVO5A,B003JFJHTS,4.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B08W5B1PPR,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B08G1FSK7B,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B0881H739W,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B07QMN2BYW,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B07J5DBT4T,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B07G19LM8N,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B071WKLCXH,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B01N2NBVRQ,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B01E91IBAQ,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B00UR05L7U,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B00OVDEEHM,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B00J7OQARC,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B00FGUDH6I,5.0
AHEBJ5HU5XFVKHIUA3FLGMOPHOLA,B00BRKI5UO,5.0
